,Complaint Type,Borough,Created Date,count
0,Animal Abuse,BRONX,2013,799
1,Animal Abuse,BRONX,2014,1767
2,Animal Abuse,BRONX,2015,1971
3,Animal Abuse,BRONX,2016,1866
4,Animal Abuse,BRONX,2017,1648
5,Animal Abuse,BRONX,2018,1603
6,Animal Abuse,BRONX,2019,1488
7,Animal Abuse,BRONX,2020,1310
8,Animal Abuse,BRONX,2021,1127
9,Animal Abuse,BRONX,2022,619
10,Animal Abuse,BROOKLYN,2014,2743
11,Animal Abuse,BROOKLYN,2015,3191
12,Animal Abuse,BROOKLYN,2016,2861
13,Animal Abuse,BROOKLYN,2017,2740
14,Animal Abuse,BROOKLYN,2018,2592
15,Animal Abuse,BROOKLYN,2019,2356
16,Animal Abuse,BROOKLYN,2020,2118
17,Animal Abuse,BROOKLYN,2021,2276
18,Animal Abuse,BROOKLYN,2022,1118
19,Animal Abuse,MANHATTAN,2013,4
20,Animal Abuse,MANHATTAN,2014,1495
21,Animal Abuse,MANHATTAN,2015,1941
22,Animal Abuse,MANHATTAN,2016,1877
23,Animal Abuse,MANHATTAN,2017,1564
24,Animal Abuse,MANHATTAN,2018,1651
25,Animal Abuse,MANHATTAN,2019,1488
26,Animal Abuse,MANHATTAN,2020,1195
27,Animal Abuse,MANHATTAN,2021,1289
28,Animal Abuse,MANHATTAN,2022,696
29,Animal Abuse,QUEENS,2013,1
30,Animal Abuse,QUEENS,2014,2457
31,Animal Abuse,QUEENS,2015,2640
32,Animal Abuse,QUEENS,2016,2671
33,Animal Abuse,QUEENS,2017,2562
34,Animal Abuse,QUEENS,2018,2223
35,Animal Abuse,QUEENS,2019,2065
36,Animal Abuse,QUEENS,2020,1792
37,Animal Abuse,QUEENS,2021,1741
38,Animal Abuse,QUEENS,2022,1077
39,Animal Abuse,STATEN ISLAND,2013,1
40,Animal Abuse,STATEN ISLAND,2014,694
41,Animal Abuse,STATEN ISLAND,2015,786
42,Animal Abuse,STATEN ISLAND,2016,786
43,Animal Abuse,STATEN ISLAND,2017,668
44,Animal Abuse,STATEN ISLAND,2018,615
45,Animal Abuse,STATEN ISLAND,2019,526
46,Animal Abuse,STATEN ISLAND,2020,481
47,Animal Abuse,STATEN ISLAND,2021,389
48,Animal Abuse,STATEN ISLAND,2022,229
