,Complaint Type,count
44,AGENCY,9
45,AHV Inspection Unit,303
46,APPLIANCE,147831
47,ATF,248
48,Abandoned Bike,1399
49,Abandoned Vehicle,140349
50,Adopt-A-Basket,575
51,Advocate - Levy,2
52,Advocate - Lien,13
53,Advocate - Other,281
54,Advocate - RPIE,10
55,Advocate-Business Tax,8
56,Advocate-Co-opCondo Abatement,84
57,Advocate-Commercial Exemptions,19
58,Advocate-Foreclosure,1
59,Advocate-Personal Exemptions,752
60,Advocate-Prop Class Incorrect,9
61,Advocate-Prop Refunds/Credits,485
62,Advocate-Property Value,41
63,Advocate-SCRIE/DRIE,18
64,Advocate-UBT,5
65,Air Quality,95432
66,Alzheimer's Care,2611
67,Animal Abuse,52178
68,Animal Facility - No Permit,852
69,Animal in a Park,27156
70,Animal-Abuse,21672
71,Appliance,4
72,Asbestos,23338
73,Asbestos/Garbage Nuisance,1
74,BEST/Site Safety,20307
75,Beach/Pool/Sauna Complaint,2228
76,Benefit Card Replacement,113957
77,Bereavement Support Group,282
78,Bike Rack Condition,1640
79,Bike/Roller/Skate Chronic,7539
80,Blocked Driveway,1274679
81,Boilers,25602
82,Borough Office,7968
83,Bottled Water,180
84,Bridge Condition,6067
85,Broken Muni Meter,172119
86,Broken Parking Meter,67234
87,Building Condition,41
88,Building Drinking Water Tank,20
89,Building Marshals office,7096
90,Building/Use,312016
91,Bus Stop Shelter Complaint,15895
92,Bus Stop Shelter Placement,2775
93,CONSTRUCTION,5078
94,COVID-19 Non-essential Construction,7340
95,Calorie Labeling,167
96,Case Management Agency Complaint,254
97,Change Collection Schedule,1
98,City Vehicle Placard Complaint,2393
99,Collection Truck Noise,1709
100,Comments,194
101,Commercial Disposal Complaint,767
102,Construction,28311
103,Construction Lead Dust,1921
104,Construction Safety Enforcement,31220
105,Consumer Complaint,236748
106,Cooling Tower,164
107,Cranes and Derricks,3363
108,Curb Condition,58732
109,DCA / DOH New License Application Request,26243
110,DEP Bridge Condition,1
111,DEP Highway Condition,12
112,DEP Sidewalk Condition,9
113,DEP Street Condition,447
114,DHS Advantage - Tenant,40930
115,DHS Advantage - Third Party,1242
116,DHS Advantage -Landlord/Broker,30695
117,DHS Income Savings Requirement,154
118,DOF Literature Request,1
119,DOF Parking - Address Update,489
120,DOF Parking - DMV Clearance,1991
121,DOF Parking - Payment Issue,72499
122,DOF Parking - Request Copy,9481
123,DOF Parking - Request Status,10330
124,DOF Parking - Tax Exemption,6953
125,DOF Property - City Rebate,1200
126,DOF Property - Owner Issue,63830
127,DOF Property - Payment Issue,53716
128,DOF Property - Property Value,2010
129,DOF Property - RPIE Issue,3517
130,DOF Property - Reduction Issue,108501
131,DOF Property - Request Copy,61184
132,DOF Property - State Rebate,5
133,DOF Property - Update Account,21605
134,DOOR/WINDOW,273095
135,DOR Literature Request,67
136,DPR Internal,9294
137,DRIE,4023
138,DSNY Internal,3
139,DSNY Spillage,7
140,Damaged Tree,401730
141,Day Care,6015
142,Dead Animal,7818
143,Dead Tree,57498
144,Dead/Dying Tree,66076
145,Dept of Investigations,77
146,Derelict Bicycle,16023
147,Derelict Vehicle,207814
148,Derelict Vehicles,306473
149,Dirty Condition,35959
150,Dirty Conditions,404734
151,Discipline and Suspension,385
152,Disorderly Youth,5002
153,Dispatched Taxi Complaint,32
154,Dispatched Taxi Compliment,3
155,Drinking,21990
156,Drinking Water,1748
157,Drug Activity,20400
158,Dumpster Complaint,1396
159,E-Scooter,270
160,ELECTRIC,352084
161,ELEVATOR,10215
162,Elder Abuse,6033
163,Electric,1
164,Electrical,40498
165,Electronics Waste,26478
166,Electronics Waste Appointment,32632
167,Elevator,140844
168,Emergency Response Team (ERT),49080
169,Employee Behavior,7
170,Encampment,48698
171,Eviction,525
172,Executive Inspections,1268
173,FATF,517
174,FCST,183
175,FHV Licensee Complaint,53
176,FLOORING/STAIRS,175896
177,Facade Insp Safety Pgm,1
178,Facades,2162
179,Face Covering Violation,1802
180,Ferry Complaint,3167
181,Ferry Inquiry,5831
182,Ferry Permit,433
183,Fire Alarm - Modification,4
184,Fire Alarm - New System,9
185,Fire Alarm - Reinspection,16
186,Fire Alarm - Replacement,1
187,Foam Ban Enforcement,48
188,Food Establishment,108090
189,Food Poisoning,35288
190,For Hire Vehicle Complaint,85175
191,For Hire Vehicle Report,3320
192,Forensic Engineering,1167
193,Forms,1261
194,Found Property,3836
195,GENERAL,200327
196,GENERAL CONSTRUCTION,500821
197,Gas Station Discharge Lines,2
198,General,1163
199,General Construction/Plumbing,584082
200,General Question,5
201,Graffiti,196711
202,Green Taxi Complaint,584
203,Green Taxi Report,52
204,HEAP Assistance,1687
205,HEAT/HOT WATER,1736101
206,HEATING,887869
207,HPD Literature Request,52831
208,Harboring Bees/Wasps,2434
209,Hazardous Material,4
210,Hazardous Materials,32041
211,Hazmat Storage/Use,2
212,Health,164
213,Highway Condition,51510
214,Highway Sign - Damaged,1301
215,Highway Sign - Dangling,360
216,Highway Sign - Missing,657
217,Home Care Provider Complaint,257
218,Home Delivered Meal - Missed Delivery,3802
219,Home Delivered Meal Complaint,897
220,Home Repair,3408
221,Homebound Evacuation 4,2
222,Homeless Encampment,38208
223,Homeless Person Assistance,198381
224,Homeless Street Condition,15583
225,Housing - Low Income Senior,51517
226,Housing Options,18080
227,Illegal Animal - Sold/Kept,1
228,Illegal Animal Kept as Pet,3733
229,Illegal Animal Sold,651
230,Illegal Dumping,20934
231,Illegal Fireworks,82030
232,Illegal Parking,1647193
233,Illegal Posting,1918
234,Illegal Tree Damage,34208
235,Incorrect Data,129
236,Indoor Air Quality,57974
237,Indoor Sewage,12079
238,Industrial Waste,16045
239,Injured Wildlife,1
240,Institution Disposal Complaint,74
241,Interior Demo,21
242,Internal Code,14
243,Investigations and Discipline (IAD),10925
244,LEAD,1
245,Lead,78917
246,Legal Services Provider Complaint,176
247,Lifeguard,218
248,LinkNYC,1057
249,Litter Basket / Request,26491
250,Litter Basket Complaint,1370
251,Litter Basket Request,2369
252,Lost Property,19884
253,Lot Condition,813
254,MOLD,1
255,MSOTHER,1
256,Maintenance or Facility,160275
257,Mass Gathering Complaint,3657
258,Meals Home Delivery Required,1
259,Misc. Comments  BCC:a5glxzf...,1
260,Misc. Comments%}dt2pq'/&quo...,1
261,Misc. Comments&amp;echo xjd...,1
262,Misc. Comments&amp;nslookup...,1
263,Misc. Comments&amp;ping -n ...,1
264,Misc. Comments&gt;  BCC:bl0...,1
265,Misc. Comments&quot;,1
266,Misc. Comments&quot;|echo 2...,1
267,Misc. Comments&quot;|ping -...,1
268,Misc. Comments',1
269,Misc. Comments' and '1618'=...,1
270,Misc. Comments' and '7835'=...,1
271,Misc. Comments' and (select...,1
272,Misc. Comments' and 6049=60...,1
273,Misc. Comments' and 7702=77...,1
274,Misc. Comments' waitfor del...,1
275,Misc. Comments'&quot;`0&amp...,1
276,Misc. Comments'(select*from...,1
277,Misc. Comments');declare @q...,1
278,Misc. Comments')waitfor del...,1
279,Misc. Comments'+(function()...,1
280,Misc. Comments'+(select loa...,1
281,Misc. Comments'+(select*fro...,1
282,Misc. Comments'+eval(compil...,1
283,Misc. Comments'+sleep(20.to...,1
284,"Misc. Comments',0)waitfor d...",1
